ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849176::Physical Name,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075852278::Extended Notes Order  [read only],1075849172::Physical Only,1075849173::Logical Only,1075849458::Default Value,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075850737::Schema,1075852160::Generate Using Bind,1075850737::Schema
"1075839019::1153","DF_Application_PaymentMethods_PaymentMethodID",Default Value,"","DF_Application_PaymentMethods_PaymentMethodID","NEXT VALUE FOR [Sequences].[PaymentMethodID]","","DF_Application_PaymentMethods_PaymentMethodID","DF_Application_PaymentMethods_PaymentMethodID","DF_Application_PaymentMethods_PaymentMethodID","","","","","","","","","Application","false","Application"
"1075839019::1192","DF_Application_People_PersonID",Default Value,"","DF_Application_People_PersonID","NEXT VALUE FOR [Sequences].[PersonID]","","DF_Application_People_PersonID","DF_Application_People_PersonID","DF_Application_People_PersonID","","","","","","","","","Application","false","Application"
"1075839019::1248","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID",Default Value,"","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","NEXT VALUE FOR [Sequences].[PurchaseOrderLineID]","","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1250","DF_Purchasing_PurchaseOrderLines_LastEditedWhen",Default Value,"","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","sysdatetime()","","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1280","DF_Purchasing_PurchaseOrders_PurchaseOrderID",Default Value,"","DF_Purchasing_PurchaseOrders_PurchaseOrderID","NEXT VALUE FOR [Sequences].[PurchaseOrderID]","","DF_Purchasing_PurchaseOrders_PurchaseOrderID","DF_Purchasing_PurchaseOrders_PurchaseOrderID","DF_Purchasing_PurchaseOrders_PurchaseOrderID","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1282","DF_Purchasing_PurchaseOrders_LastEditedWhen",Default Value,"","DF_Purchasing_PurchaseOrders_LastEditedWhen","sysdatetime()","","DF_Purchasing_PurchaseOrders_LastEditedWhen","DF_Purchasing_PurchaseOrders_LastEditedWhen","DF_Purchasing_PurchaseOrders_LastEditedWhen","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1310","DF_Sales_SpecialDeals_SpecialDealID",Default Value,"","DF_Sales_SpecialDeals_SpecialDealID","NEXT VALUE FOR [Sequences].[SpecialDealID]","","DF_Sales_SpecialDeals_SpecialDealID","DF_Sales_SpecialDeals_SpecialDealID","DF_Sales_SpecialDeals_SpecialDealID","","","","","","","","","Sales","false","Sales"
"1075839019::1312","DF_Sales_SpecialDeals_LastEditedWhen",Default Value,"","DF_Sales_SpecialDeals_LastEditedWhen","sysdatetime()","","DF_Sales_SpecialDeals_LastEditedWhen","DF_Sales_SpecialDeals_LastEditedWhen","DF_Sales_SpecialDeals_LastEditedWhen","","","","","","","","","Sales","false","Sales"
"1075839019::1346","DF_Application_StateProvinces_StateProvinceID",Default Value,"","DF_Application_StateProvinces_StateProvinceID","NEXT VALUE FOR [Sequences].[StateProvinceID]","","DF_Application_StateProvinces_StateProvinceID","DF_Application_StateProvinces_StateProvinceID","DF_Application_StateProvinces_StateProvinceID","","","","","","","","","Application","false","Application"
"1075839019::1380","DF_Warehouse_StockGroups_StockGroupID",Default Value,"","DF_Warehouse_StockGroups_StockGroupID","NEXT VALUE FOR [Sequences].[StockGroupID]","","DF_Warehouse_StockGroups_StockGroupID","DF_Warehouse_StockGroups_StockGroupID","DF_Warehouse_StockGroups_StockGroupID","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1407","DF_Warehouse_StockItemHoldings_LastEditedWhen",Default Value,"","DF_Warehouse_StockItemHoldings_LastEditedWhen","sysdatetime()","","DF_Warehouse_StockItemHoldings_LastEditedWhen","DF_Warehouse_StockItemHoldings_LastEditedWhen","DF_Warehouse_StockItemHoldings_LastEditedWhen","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1437","DF_Warehouse_StockItems_StockItemID",Default Value,"","DF_Warehouse_StockItems_StockItemID","NEXT VALUE FOR [Sequences].[StockItemID]","","DF_Warehouse_StockItems_StockItemID","DF_Warehouse_StockItems_StockItemID","DF_Warehouse_StockItems_StockItemID","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1492","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID",Default Value,"","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","NEXT VALUE FOR [Sequences].[StockItemStockGroupID]","","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","DF_Warehouse_StockItemStockGroups_StockItemStockGroupID","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1494","DF_Warehouse_StockItemStockGroups_LastEditedWhen",Default Value,"","DF_Warehouse_StockItemStockGroups_LastEditedWhen","sysdatetime()","","DF_Warehouse_StockItemStockGroups_LastEditedWhen","DF_Warehouse_StockItemStockGroups_LastEditedWhen","DF_Warehouse_StockItemStockGroups_LastEditedWhen","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1518","DF_Warehouse_StockItemTransactions_StockItemTransactionID",Default Value,"","DF_Warehouse_StockItemTransactions_StockItemTransactionID","NEXT VALUE FOR [Sequences].[TransactionID]","","DF_Warehouse_StockItemTransactions_StockItemTransactionID","DF_Warehouse_StockItemTransactions_StockItemTransactionID","DF_Warehouse_StockItemTransactions_StockItemTransactionID","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1520","DF_Warehouse_StockItemTransactions_LastEditedWhen",Default Value,"","DF_Warehouse_StockItemTransactions_LastEditedWhen","sysdatetime()","","DF_Warehouse_StockItemTransactions_LastEditedWhen","DF_Warehouse_StockItemTransactions_LastEditedWhen","DF_Warehouse_StockItemTransactions_LastEditedWhen","","","","","","","","","Warehouse","false","Warehouse"
"1075839019::1561","DF_Purchasing_SupplierCategories_SupplierCategoryID",Default Value,"","DF_Purchasing_SupplierCategories_SupplierCategoryID","NEXT VALUE FOR [Sequences].[SupplierCategoryID]","","DF_Purchasing_SupplierCategories_SupplierCategoryID","DF_Purchasing_SupplierCategories_SupplierCategoryID","DF_Purchasing_SupplierCategories_SupplierCategoryID","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1608","DF_Purchasing_Suppliers_SupplierID",Default Value,"","DF_Purchasing_Suppliers_SupplierID","NEXT VALUE FOR [Sequences].[SupplierID]","","DF_Purchasing_Suppliers_SupplierID","DF_Purchasing_Suppliers_SupplierID","DF_Purchasing_Suppliers_SupplierID","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1683","DF_Purchasing_SupplierTransactions_SupplierTransactionID",Default Value,"","DF_Purchasing_SupplierTransactions_SupplierTransactionID","NEXT VALUE FOR [Sequences].[TransactionID]","","DF_Purchasing_SupplierTransactions_SupplierTransactionID","DF_Purchasing_SupplierTransactions_SupplierTransactionID","DF_Purchasing_SupplierTransactions_SupplierTransactionID","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1685","DF_Purchasing_SupplierTransactions_LastEditedWhen",Default Value,"","DF_Purchasing_SupplierTransactions_LastEditedWhen","sysdatetime()","","DF_Purchasing_SupplierTransactions_LastEditedWhen","DF_Purchasing_SupplierTransactions_LastEditedWhen","DF_Purchasing_SupplierTransactions_LastEditedWhen","","","","","","","","","Purchasing","false","Purchasing"
"1075839019::1761","DF_Application_SystemParameters_SystemParameterID",Default Value,"","DF_Application_SystemParameters_SystemParameterID","NEXT VALUE FOR [Sequences].[SystemParameterID]","","DF_Application_SystemParameters_SystemParameterID","DF_Application_SystemParameters_SystemParameterID","DF_Application_SystemParameters_SystemParameterID","","","","","","","","","Application","false","Application"
"1075839019::1763","DF_Application_SystemParameters_LastEditedWhen",Default Value,"","DF_Application_SystemParameters_LastEditedWhen","sysdatetime()","","DF_Application_SystemParameters_LastEditedWhen","DF_Application_SystemParameters_LastEditedWhen","DF_Application_SystemParameters_LastEditedWhen","","","","","","","","","Application","false","Application"
"1075839019::1779","DF_Application_TransactionTypes_TransactionTypeID",Default Value,"","DF_Application_TransactionTypes_TransactionTypeID","NEXT VALUE FOR [Sequences].[TransactionTypeID]","","DF_Application_TransactionTypes_TransactionTypeID","DF_Application_TransactionTypes_TransactionTypeID","DF_Application_TransactionTypes_TransactionTypeID","","","","","","","","","Application","false","Application"
